stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,8.014522600220516,8.544551900122315,8.544551900122315,8.544551900122315,8.84546780004166,left,-10.0,0,0,2.1906195001211017,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
1,2,12.0,10.762603300157934,11.245647700037807,11.245647700037807,11.245647700037807,11.54567230003886,left,-12.0,0,0,0.4624736998230219,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
2,1,14.0,11.729027300141752,12.212473000166938,12.212473000166938,12.212473000166938,12.512227900093421,right,14.0,1,1,37.2286181000527,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
3,1,13.0,49.46209880011156,49.96236680005677,49.96236680005677,49.96236680005677,,left,-13.0,0,0,0.16168750007636845,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
4,1,14.0,50.145372700178996,50.6456270001363,50.6456270001363,50.6456270001363,50.9448546001222,right,14.0,1,1,0.38996850000694394,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
5,1,14.0,51.06186820007861,51.56210870016366,51.56210870016366,51.56210870016366,51.861740600084886,right,14.0,1,1,15.263245000038296,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
6,1,14.0,66.84464420005679,67.34480070020072,67.34480070020072,67.34480070020072,,left,-14.0,0,0,0.15459299995563924,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
7,1,15.0,67.52788250008598,68.02810300001875,68.02810300001875,68.02810300001875,68.32749760011211,right,15.0,1,1,0.4342091998551041,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
8,1,15.0,68.49443640001118,68.99467840022407,68.99467840022407,68.99467840022407,69.2944438001141,right,15.0,1,1,0.27734219981357455,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
9,1,15.0,69.2944438001141,69.79493030020967,69.79493030020967,69.79493030020967,,left,-15.0,0,0,0.1474396998528391,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
10,1,16.0,69.96583460015245,70.46129630017094,70.46129630017094,70.46129630017094,,left,-16.0,0,0,0.23580639995634556,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
11,1,17.0,70.72772510000505,71.22804650012404,71.22804650012404,71.22804650012404,,left,-17.0,0,0,0.1637883000075817,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
